ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000215095,0.0,0.0,0.0,0.0,0.0,['hsa04130'],1.0
ENSP00000215368,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04151']",1.0
ENSP00000215375,0.0,0.0,0.0,0.0,0.0,['hsa00190'],1.0
ENSP00000215530,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04151']",1.0
ENSP00000215531,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215565,0.0,0.0,0.0,0.0,0.0,['hsa00190'],1.0
ENSP00000215570,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215574,0.0,0.0,0.0,0.0,0.0,['hsa04120'],1.0
ENSP00000215582,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000215631,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04064', 'hsa04068', 'hsa04110', 'hsa04115', 'hsa04210', 'hsa04218']",1.0
ENSP00000215637,0.0,0.0,0.0,0.0,0.0,"['hsa04514', 'hsa04672']",1.0
